commit_id	validation_f1	validation_accuracy	validation_bal_acc	test_f1	test_accuracy	test_bal_acc	status	description
09de924	0.5765	0.4150	0.5102	0.8129	0.6988	0.5526	keep	initial 60d +8/-4 drop-neutral baseline
09de924	0.5853	0.4487	0.5346	0.8092	0.6972	0.5600	keep	add drawdown_20 by volume_vs_20 interaction to baseline
896af07	0.5341	0.3699	0.5052	0.7001	0.5397	0.4993	discard	keep-all binary baseline underperforms default drop-neutral baseline
896af07	0.6080	0.4724	0.5319	0.7231	0.5739	0.4802	discard	60d +6/-3 baseline improves validation f1 but degrades test stability versus default
896af07	0.5167	0.4218	0.5378	0.7277	0.6225	0.5602	discard	60d +10/-5 baseline loses validation f1 despite stronger average return profile
2441f56	0.5851	0.4441	0.5320	0.8115	0.7003	0.5623	discard	current best plus neg_weight=1.1 improves test slightly but misses validation_f1 leader
2441f56	0.5853	0.4487	0.5346	0.8081	0.6972	0.5637	discard	current best plus neg_weight=1.2 matches validation_f1 but softens test_f1
2441f56	0.5845	0.4426	0.5307	0.8074	0.6957	0.5613	discard	current best plus learning_rate=0.01 underperforms current best
2441f56	0.5853	0.4487	0.5346	0.8092	0.6972	0.5600	discard	current best threshold_steps=801 matches threshold_steps=401 exactly
2441f56	0.5836	0.4472	0.5327	0.8058	0.6942	0.5614	discard	current best plus gap_down_flag does not beat current best
2441f56	0.5849	0.4456	0.5327	0.8081	0.6957	0.5589	discard	current best plus inside_bar does not beat current best
2441f56	0.5840	0.4349	0.5262	0.8092	0.6957	0.5552	discard	current best plus range_z_20 keeps test_f1 but weakens validation balance
2441f56	0.5836	0.4472	0.5327	0.8070	0.6957	0.5626	discard	current best plus gap_down_flag:drawdown_20 does not beat current best
2441f56	0.5859	0.4502	0.5359	0.8054	0.6927	0.5579	discard	current best plus range_z_20:drawdown_20 slightly lifts validation but weakens test
2441f56	0.5819	0.4410	0.5282	0.8085	0.6957	0.5577	discard	current best fixed threshold=0.42 is close to default but not better overall
2441f56	0.5021	0.4655	0.4996	0.6279	0.5398	0.5208	discard	current best fixed threshold=0.45 improves return per trade but loses classification quality
2441f56	0.0962	0.5972	0.5075	0.0310	0.3318	0.5032	discard	current best fixed threshold=0.49 is too selective for this classifier
2441f56	0.2188	0.5299	0.4695	0.3141	0.3991	0.5051	discard	current best top-20-percent ranking filter does not improve barrier classification
2441f56	0.1524	0.5743	0.4953	0.1811	0.3639	0.5049	discard	current best top-10-percent ranking filter is too sparse for current scores
0fe5d35	0.5830	0.4494	0.5346	0.8086	0.6983	0.5660	keep	current best rerun on NaN-clean dataset after experimental feature fix
0fe5d35	0.5868	0.4448	0.5345	0.8128	0.7044	0.5718	keep	add ret_60 after NaN cleanup; new best overall trade-off
0fe5d35	0.5824	0.4479	0.5333	0.8078	0.6968	0.5636	discard	add drawdown_60 after NaN cleanup does not beat NaN-clean baseline
0fe5d35	0.5917	0.4540	0.5428	0.8083	0.7014	0.5768	keep	add sma_gap_60 after NaN cleanup; strongest validation and bal_acc profile
0fe5d35	0.5811	0.4294	0.5224	0.8084	0.6937	0.5516	discard	add volume_vs_60 after NaN cleanup remains weak
